mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_features,param_max_depth,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
1.0534183025360107,0.19511468603345167,0.08338756561279297,0.018842512385385132,200,2,2,,40,"{'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': None, 'max_depth': 40}",-4.163502592822944,-4.425680173445632,-3.6226620696879874,-3.3097199689506143,-4.312447699174703,-3.9668025008163754,0.4287004403546968,24
2.3086931228637697,0.10825815246760041,0.18556451797485352,0.041742972983524036,500,5,2,sqrt,,"{'n_estimators': 500, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': None}",-5.583763890604967,-5.3469474281374225,-4.8045698469952685,-4.628869993305161,-5.184825756377594,-5.109795383084083,0.34956219873602795,47
1.250969648361206,0.18823321866338286,0.0884162425994873,0.009947554974912065,200,2,1,,50,"{'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': None, 'max_depth': 50}",-3.284104832533996,-3.9968667463066447,-2.6905547597133537,-2.6618712158860065,-3.461947199434852,-3.219068950774971,0.5015945546437092,6
5.466234350204468,0.16819136936885365,0.36137542724609373,0.0444403219358297,1000,2,2,,30,"{'n_estimators': 1000, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': None, 'max_depth': 30}",-4.081456403375479,-4.426073834851414,-3.6206930230759466,-3.298864048585764,-4.242520503934659,-3.9339215627646524,0.4148792255575258,20
5.431946420669556,0.17169194412055125,0.3557694911956787,0.040991254820630756,1000,2,1,sqrt,50,"{'n_estimators': 1000, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 50}",-3.8509885503429953,-3.654083060810319,-2.9982435210022365,-3.2209838255297325,-3.3592716466737294,-3.416714120871802,0.30386375994907644,11
1.0469346046447754,0.062275981775580976,0.0662409782409668,0.01066586489005903,200,2,2,,20,"{'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': None, 'max_depth': 20}",-4.163502592822944,-4.425680173445632,-3.6226620696879874,-3.3097199689506143,-4.312447699174703,-3.9668025008163754,0.4287004403546968,24
5.29670467376709,0.21887015010311975,0.3854320526123047,0.05285592993014119,1000,5,1,,30,"{'n_estimators': 1000, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': None, 'max_depth': 30}",-4.046030641869854,-4.533406695384499,-3.507299317791339,-3.3465262596700387,-4.172165605918137,-3.9210857041267735,0.43701878211742684,15
2.0937286853790282,0.1631536946620001,0.16539888381958007,0.02546073612102249,500,5,2,sqrt,50,"{'n_estimators': 500, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 50}",-5.583763890604967,-5.3469474281374225,-4.8045698469952685,-4.628869993305161,-5.184825756377594,-5.109795383084083,0.34956219873602795,47
1.0316495418548584,0.10559876004168305,0.0689962387084961,0.012482213729269572,200,5,2,,,"{'n_estimators': 200, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': None, 'max_depth': None}",-4.36603033490337,-4.633654934122513,-3.8222801267410906,-3.4887049339690135,-4.502012310052085,-4.162536527957615,0.4355294535039672,29
1.0317362308502198,0.05970215471649977,0.06905369758605957,0.01723622265239572,200,5,2,,20,"{'n_estimators': 200, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': None, 'max_depth': 20}",-4.36603033490337,-4.633654934122513,-3.8222801267410906,-3.4887049339690135,-4.502012310052085,-4.162536527957615,0.4355294535039672,29
3.1674143791198732,0.0668481752600607,0.15846891403198243,0.03402037862295041,500,2,1,,20,"{'n_estimators': 500, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': None, 'max_depth': 20}",-3.2060136453909975,-3.880958373579008,-2.661618673470156,-2.654945815178535,-3.392838947851716,-3.1592750910940826,0.46466617187121834,5
0.8851201057434082,0.09468540685422402,0.08719182014465332,0.023133897582392194,200,5,2,sqrt,30,"{'n_estimators': 200, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 30}",-5.6226700576673,-5.241483329780853,-4.661761735549283,-4.647290332095407,-5.1893485152845304,-5.072510794075474,0.37266747016680285,45
